CODCID;UF;NOMECID;DDD;CODREG;DISTANCIA;DTALTER;DESCRICAOCORREIO;SEQENTREGA;POPULACAO;CODMUNFIS;VLRFRETEMIN;VLRFRETETON;TIPOFRETE;VLRFRETEKM;VLRTAXAENT;CODMUNSIAFI;CODMUNDMS;LATITUDE;LONGITUDE;VENDAMIN;CODMUNDIEF;QTDDIASSUB;QTDSUB;TEMSUBSTITNFSE;TIPCANCNFSE;VLRLIMCANCNFSE;MOTCANCSUBNFSE;METARREDVLRISS;MAXNOTALOTENFSE;NFSETEMPLATESUBST;TIPOCNAE;NUVERSAO;LINKAGUA;LINKENERGIA;LINKIPTU;TIMPARCPREFEITURA;NOFORMATLC116;CNAEFULLNFSE;NOINSCMUNPAR;GERCODNATISSJSON;ENVITENSSEPJSON;QTDMAXENVITENSJSON;OBSJSONENOTAS;PERMCANCNFSESUBSTIT;JSONSEMALIDENMUN;VMINRETENCAOISS;ACTCANEXNT;ENVFPJSON;CODPARCNFSE;REMZEROESQUERDLC116;INFQTDVLRUNIJSON;ENVMULEMAILJSON;GERNUNFSEINFCPM;ATUNUVERSAO;ENVTAGDESCONJSON;MASCARALC116;GERCNAEMULTJSON;REGESPTRIB;ENVCODIGONBSJSON;MASCARANBS;ENVTPSERVJSON
3194;13;MORRO GRANDE;48;0;;22/01/2019 16:45;MORRO GRANDE;;;4211256;;;C;;;5539;88600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3195;15;MORRO REDONDO;53;0;;22/01/2019 16:47;MORRO REDONDO;;;4312450;;;C;;;7385;871100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3196;15;MORRO REUTER;51;0;;22/01/2019 16:32;MORRO REUTER;;;4312476;;;C;;;6019;99400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3197;31;MORROS;98;0;;22/01/2019 16:34;MORROS;;;2107100;;;C;;;841;129100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3198;6;MORTUGABA;77;0;;22/01/2019 16:36;MORTUGABA;;;2921807;;;C;;;3737;353100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3199;1;MORUNGABA;11;0;;22/01/2019 16:38;MORUNGABA;;;3532009;;;C;;;6741;662000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3200;4;MOSSAMEDES;64;0;;22/01/2019 16:40;MOSSAMEDES;;;5213905;;;C;;;9475;26900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3201;26;MOSSORO;84;0;;22/01/2019 16:42;MOSSORO;;;2408003;;;C;;;1759;218000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3202;15;MOSTARDAS;51;0;;22/01/2019 16:45;MOSTARDAS;;;4312500;;;C;;;8751;873600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3203;1;MOTUCA;16;0;;22/01/2019 16:46;MOTUCA;;;3532058;;;C;;;7263;145000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3204;4;MOZARLANDIA;62;0;;22/01/2019 16:49;MOZARLANDIA;;;5214002;;;C;;;9477;17300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3205;9;MUANA;91;0;;22/01/2019 16:34;MUANA;;;1504901;;;C;;;497;97800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3206;24;MUCAJAI;95;0;;22/01/2019 16:36;MUCAJAI;;;1400308;;;C;;;309;89300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3207;21;MUCAMBO;88;0;;22/01/2019 16:38;MUCAMBO;;;2309003;;;C;;;1481;168800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3208;6;MUCUGE;75;0;;22/01/2019 16:40;MUCUGE;;;2921906;;;C;;;3739;346600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3209;15;MUCUM;51;0;;22/01/2019 16:42;MUCUM;;;4312609;;;C;;;8753;857700;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3210;6;MUCURI;73;0;;22/01/2019 16:44;MUCURI;;;2922003;;;C;;;3741;409300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3211;16;MUCURICI;27;0;;22/01/2019 16:46;MUCURICI;;;3203601;;;C;;;5671;565300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3212;15;MUITOS CAPOES;54;0;;22/01/2019 16:49;MUITOS CAPOES;;;4312617;;;C;;;1002;182700;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3213;15;MULITERNO;54;0;;22/01/2019 16:33;MULITERNO;;;4312625;;;C;;;5935;97300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3214;21;MULUNGU;85;0;;22/01/2019 16:35;MULUNGU;;;2309102;;;C;;;1483;190100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3215;17;MULUNGU;83;0;;22/01/2019 16:37;MULUNGU;;;2509800;;;C;;;2097;257600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3216;6;MULUNGU DO MORRO;74;0;;22/01/2019 16:39;MULUNGU DO MORRO;;;2922052;;;C;;;3299;30600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3217;6;MUNDO NOVO;74;0;;22/01/2019 16:41;MUNDO NOVO;;;2922102;;;C;;;3743;361800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3218;12;MUNDO NOVO;67;0;;22/01/2019 16:44;MUNDO NOVO;;;5005681;;;C;;;9179;50900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3219;4;MUNDO NOVO;62;0;;22/01/2019 16:45;MUNDO NOVO;;;5214051;;;C;;;9651;12300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3220;2;MUNHOZ;35;0;;22/01/2019 16:48;MUNHOZ;;;3143807;;;C;;;4875;529700;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3221;8;MUNHOZ DE MELO;44;0;;22/01/2019 16:33;MUNHOZ DE MELO;;;4116307;;;C;;;7711;783900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3222;6;MUNIZ FERREIRA;75;0;;22/01/2019 16:35;MUNIZ FERREIRA;;;2922201;;;C;;;3745;387200;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3223;16;MUNIZ FREIRE;28;0;;22/01/2019 16:37;MUNIZ FREIRE;;;3203700;;;C;;;5673;578500;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3224;6;MUQUEM DO SAO FRANCISCO;77;0;;22/01/2019 16:39;MUQUEM DO SAO FRANCISCO;;;2922250;;;C;;;3005;38700;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3225;16;MUQUI;28;0;;22/01/2019 16:41;MUQUI;;;3203809;;;C;;;5675;580800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3226;2;MURIAE;32;0;;22/01/2019 16:43;MURIAE;;;3143906;;;C;;;4877;489900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3227;22;MURIBECA;79;0;;22/01/2019 16:45;MURIBECA;;;2804300;;;C;;;3185;325200;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3228;19;MURICI;82;0;;22/01/2019 16:47;MURICI;;;2705507;;;C;;;2809;316800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3229;23;MURICI DOS PORTELAS;86;0;;22/01/2019 16:32;MURICI DOS PORTELAS;;;2206696;;;C;;;354;212000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3230;14;MURICILANDIA;63;0;;22/01/2019 16:34;MURICILANDIA;;;1713957;;;C;;;187;56500;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3231;6;MURITIBA;75;0;;22/01/2019 16:36;MURITIBA;;;2922300;;;C;;;3747;387300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3232;1;MURUTINGA DO SUL;18;0;;22/01/2019 16:38;MURUTINGA DO SUL;;;3532108;;;C;;;6743;672400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3233;6;MUTUIPE;75;0;;22/01/2019 16:40;MUTUIPE;;;2922409;;;C;;;3749;373800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3234;2;MUTUM;33;0;;22/01/2019 16:42;MUTUM;;;3144003;;;C;;;4879;474100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3235;4;MUTUNOPOLIS;62;0;;22/01/2019 16:44;MUTUNOPOLIS;;;5214101;;;C;;;9479;12400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3236;2;MUZAMBINHO;35;0;;22/01/2019 16:47;MUZAMBINHO;;;3144102;;;C;;;4881;514900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3237;2;NACIP RAYDAN;33;0;;22/01/2019 16:49;NACIP RAYDAN;;;3144201;;;C;;;4883;465300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3238;1;NANTES;18;0;;22/01/2019 16:56;NANTES;;;3532157;;;C;;;804;188300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3239;2;NANUQUE;33;0;;22/01/2019 16:58;NANUQUE;;;3144300;;;C;;;4885;441400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3240;15;NAO-ME-TOQUE;54;0;;22/01/2019 17:00;NAO-ME-TOQUE;;;4312658;;;C;;;8755;917600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3241;2;NAQUE;33;0;;22/01/2019 17:02;NAQUE;;;3144359;;;C;;;656;458804;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3242;1;NARANDIBA;18;0;;22/01/2019 17:04;NARANDIBA;;;3532207;;;C;;;6745;689700;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3243;26;NATAL;84;0;;22/01/2019 17:06;NATAL;;;2408102;;;C;;;1761;237000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3244;2;NATALANDIA;38;0;;22/01/2019 17:08;NATALANDIA;;;3144375;;;C;;;658;169800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3245;2;NATERCIA;35;0;;22/01/2019 17:10;NATERCIA;;;3144409;;;C;;;4887;520900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3246;14;NATIVIDADE;63;0;;22/01/2019 16:55;NATIVIDADE;;;1714203;;;C;;;9481;9800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3247;7;NATIVIDADE;22;0;;22/01/2019 16:57;NATIVIDADE;;;3303104;;;C;;;5861;588100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3248;1;NATIVIDADE DA SERRA;12;0;;22/01/2019 16:59;NATIVIDADE DA SERRA;;;3532306;;;C;;;6747;722500;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3249;17;NATUBA;83;0;;22/01/2019 17:01;NATUBA;;;2509909;;;C;;;2099;251200;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
