CODCID;UF;NOMECID;DDD;CODREG;DISTANCIA;DTALTER;DESCRICAOCORREIO;SEQENTREGA;POPULACAO;CODMUNFIS;VLRFRETEMIN;VLRFRETETON;TIPOFRETE;VLRFRETEKM;VLRTAXAENT;CODMUNSIAFI;CODMUNDMS;LATITUDE;LONGITUDE;VENDAMIN;CODMUNDIEF;QTDDIASSUB;QTDSUB;TEMSUBSTITNFSE;TIPCANCNFSE;VLRLIMCANCNFSE;MOTCANCSUBNFSE;METARREDVLRISS;MAXNOTALOTENFSE;NFSETEMPLATESUBST;TIPOCNAE;NUVERSAO;LINKAGUA;LINKENERGIA;LINKIPTU;TIMPARCPREFEITURA;NOFORMATLC116;CNAEFULLNFSE;NOINSCMUNPAR;GERCODNATISSJSON;ENVITENSSEPJSON;QTDMAXENVITENSJSON;OBSJSONENOTAS;PERMCANCNFSESUBSTIT;JSONSEMALIDENMUN;VMINRETENCAOISS;ACTCANEXNT;ENVFPJSON;CODPARCNFSE;REMZEROESQUERDLC116;INFQTDVLRUNIJSON;ENVMULEMAILJSON;GERNUNFSEINFCPM;ATUNUVERSAO;ENVTAGDESCONJSON;MASCARALC116;GERCNAEMULTJSON;REGESPTRIB;ENVCODIGONBSJSON;MASCARANBS;ENVTPSERVJSON
5022;8;SERRANOPOLIS DO IGUACU;45;0;;23/01/2019 15:50;SERRANOPOLIS DO IGUACU;;;4126355;;;C;;;882;201700;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5023;2;SERRANOS;35;0;;23/01/2019 15:53;SERRANOS;;;3167004;;;C;;;5339;527100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5024;17;SERRARIA;83;0;;23/01/2019 15:54;SERRARIA;;;2515906;;;C;;;2219;261700;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5025;26;SERRINHA;84;0;;23/01/2019 15:56;SERRINHA;;;2413508;;;C;;;1867;235000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5026;6;SERRINHA;75;0;;23/01/2019 15:58;SERRINHA;;;2930501;;;C;;;3909;366800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5027;26;SERRINHA DOS PINTOS;84;0;;23/01/2019 16:01;SERRINHA DOS PINTOS;;;2413557;;;C;;;432;202300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5028;10;SERRITA;87;0;;23/01/2019 16:03;SERRITA;;;2614006;;;C;;;2579;270200;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5029;2;SERRO;38;0;;23/01/2019 16:05;SERRO;;;3167103;;;C;;;5341;435400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5030;6;SERROLANDIA;74;0;;23/01/2019 15:49;SERROLANDIA;;;2930600;;;C;;;3911;362100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5031;8;SERTANEJA;43;0;;23/01/2019 16:14;SERTANEJA;;;4126405;;;C;;;7903;779000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5032;10;SERTANIA;87;0;;23/01/2019 16:16;SERTANIA;;;2614105;;;C;;;2581;278400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5033;8;SERTANOPOLIS;43;0;;23/01/2019 16:18;SERTANOPOLIS;;;4126504;;;C;;;7905;784800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5034;15;SERTAO;54;0;;23/01/2019 16:20;SERTAO;;;4320503;;;C;;;8911;904900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5035;15;SERTAO SANTANA;51;0;;23/01/2019 16:22;SERTAO SANTANA;;;4320552;;;C;;;5761;133000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5036;17;SERTAOZINHO;83;0;;23/01/2019 16:24;SERTAOZINHO;;;2515930;;;C;;;532;256901;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5037;1;SERTAOZINHO;16;0;;23/01/2019 16:26;SERTAOZINHO;;;3551702;;;C;;;7135;644400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5038;1;SETE BARRAS;13;0;;23/01/2019 16:11;SETE BARRAS;;;3551801;;;C;;;7137;710100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5039;15;SETE DE SETEMBRO;55;0;;23/01/2019 16:13;SETE DE SETEMBRO;;;4320578;;;C;;;1014;182900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5040;2;SETE LAGOAS;31;0;;23/01/2019 16:15;SETE LAGOAS;;;3167202;;;C;;;5343;533900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5041;12;SETE QUEDAS;67;0;;23/01/2019 16:17;SETE QUEDAS;;;5007703;;;C;;;9813;51300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5042;2;SETUBINHA;33;0;;23/01/2019 16:19;SETUBINHA;;;3165552;;;C;;;732;438506;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5043;15;SEVERIANO DE ALMEIDA;54;0;;23/01/2019 16:22;SEVERIANO DE ALMEIDA;;;4320602;;;C;;;8913;905000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5044;26;SEVERIANO MELO;84;0;;23/01/2019 16:24;SEVERIANO MELO;;;2413607;;;C;;;1869;219800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5045;1;SEVERINIA;17;0;;23/01/2019 16:26;SEVERINIA;;;3551900;;;C;;;7139;635900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5046;13;SIDEROPOLIS;48;0;;23/01/2019 16:10;SIDEROPOLIS;;;4217600;;;C;;;8347;822100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5047;12;SIDROLANDIA;67;0;;23/01/2019 16:13;SIDROLANDIA;;;5007901;;;C;;;9157;42400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5048;23;SIGEFREDO PACHECO;86;0;;23/01/2019 16:15;SIGEFREDO PACHECO;;;2210656;;;C;;;1379;114700;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5049;7;SILVA JARDIM;22;0;;23/01/2019 16:17;SILVA JARDIM;;;3305604;;;C;;;5911;602100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5050;4;SILVANIA;62;0;;23/01/2019 16:19;SILVANIA;;;5220603;;;C;;;9609;37700;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5051;14;SILVANOPOLIS;63;0;;23/01/2019 16:21;SILVANOPOLIS;;;1720655;;;C;;;9659;7600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5052;15;SILVEIRA MARTINS;55;0;;23/01/2019 16:23;SILVEIRA MARTINS;;;4320651;;;C;;;7315;925700;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5053;2;SILVEIRANIA;32;0;;23/01/2019 16:25;SILVEIRANIA;;;3167301;;;C;;;5345;493900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5054;1;SILVEIRAS;12;0;;23/01/2019 16:10;SILVEIRAS;;;3552007;;;C;;;7141;723000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5055;18;SILVES;92;0;;23/01/2019 16:12;SILVES;;;1304005;;;C;;;277;87800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5056;2;SILVIANOPOLIS;35;0;;23/01/2019 16:14;SILVIANOPOLIS;;;3167400;;;C;;;5347;522400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5057;22;SIMAO DIAS;79;0;;23/01/2019 16:17;SIMAO DIAS;;;2807105;;;C;;;3241;330000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5058;2;SIMAO PEREIRA;32;0;;23/01/2019 16:19;SIMAO PEREIRA;;;3167509;;;C;;;5349;557900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5059;23;SIMOES;89;0;;23/01/2019 16:21;SIMOES;;;2210706;;;C;;;1213;148200;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5060;6;SIMOES FILHO;71;0;;23/01/2019 16:23;SIMOES FILHO;;;2930709;;;C;;;3913;393600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5061;4;SIMOLANDIA;62;0;;23/01/2019 16:25;SIMOLANDIA;;;5220686;;;C;;;9755;16300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5062;2;SIMONESIA;33;0;;23/01/2019 16:27;SIMONESIA;;;3167608;;;C;;;5351;483800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5063;23;SIMPLICIO MENDES;89;0;;23/01/2019 16:12;SIMPLICIO MENDES;;;2210805;;;C;;;1215;154100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5064;15;SINIMBU;51;0;;23/01/2019 16:14;SINIMBU;;;4320677;;;C;;;5767;95300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5065;5;SINOP;66;0;;23/01/2019 16:16;SINOP;;;5107909;;;C;;;8985;60600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5066;8;SIQUEIRA CAMPOS;43;0;;23/01/2019 16:18;SIQUEIRA CAMPOS;;;4126603;;;C;;;7907;743200;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5067;10;SIRINHAEM;81;0;;23/01/2019 16:21;SIRINHAEM;;;2614204;;;C;;;2583;301700;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5068;22;SIRIRI;79;0;;23/01/2019 16:22;SIRIRI;;;2807204;;;C;;;3243;327600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5069;4;SITIO D'ABADIA;62;0;;23/01/2019 16:24;SITIO D'ABADIA;;;5220702;;;C;;;9611;16200;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5070;6;SITIO DO MATO;77;0;;23/01/2019 16:26;SITIO DO MATO;;;2930758;;;C;;;3041;30700;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5071;6;SITIO DO QUINTO;75;0;;23/01/2019 16:11;SITIO DO QUINTO;;;2930766;;;C;;;3043;30000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5072;31;SITIO NOVO;99;0;;23/01/2019 16:13;SITIO NOVO;;;2111805;;;C;;;929;125900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5073;26;SITIO NOVO;84;0;;23/01/2019 16:15;SITIO NOVO;;;2413706;;;C;;;1871;232400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5074;14;SITIO NOVO DO TOCANTINS;63;0;;23/01/2019 16:17;SITIO NOVO DO TOCANTINS;;;1720804;;;C;;;9613;1200;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5075;6;SOBRADINHO;74;0;;23/01/2019 16:20;SOBRADINHO;;;2930774;;;C;;;3045;39000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5076;15;SOBRADINHO;51;0;;23/01/2019 16:22;SOBRADINHO;;;4320701;;;C;;;8917;860700;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5077;17;SOBRADO;83;0;;23/01/2019 16:24;SOBRADO;;;2515971;;;C;;;534;263401;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5078;21;SOBRAL;88;0;;23/01/2019 16:26;SOBRAL;;;2312908;;;C;;;1559;169100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5079;2;SOBRALIA;33;0;;23/01/2019 16:11;SOBRALIA;;;3167707;;;C;;;5353;470300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5080;1;SOCORRO;19;0;;23/01/2019 16:13;SOCORRO;;;3552106;;;C;;;7143;669300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5081;23;SOCORRO DO PIAUI;89;0;;23/01/2019 16:15;SOCORRO DO PIAUI;;;2210904;;;C;;;1217;154200;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5082;17;SOLANEA;83;0;;22/01/2019 23:41;SOLANEA;;;2516003;;;C;;;2221;259900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5083;17;SOLEDADE;83;0;;22/01/2019 23:44;SOLEDADE;;;2516102;;;C;;;2223;252100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5084;15;SOLEDADE;54;0;;22/01/2019 23:46;SOLEDADE;;;4320800;;;C;;;8919;919100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5085;2;SOLEDADE DE MINAS;35;0;;22/01/2019 23:48;SOLEDADE DE MINAS;;;3167806;;;C;;;5355;522500;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5086;10;SOLIDAO;87;0;;22/01/2019 23:50;SOLIDAO;;;2614402;;;C;;;2587;275500;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5087;21;SOLONOPOLE;88;0;;22/01/2019 23:35;SOLONOPOLE;;;2313005;;;C;;;1561;196300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5088;13;SOMBRIO;48;0;;22/01/2019 23:37;SOMBRIO;;;4217709;;;C;;;8349;824600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5089;12;SONORA;67;0;;22/01/2019 23:39;SONORA;;;5007935;;;C;;;9757;17900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5090;16;SOORETAMA;27;0;;22/01/2019 23:40;SOORETAMA;;;3205010;;;C;;;766;154400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5091;1;SOROCABA;15;0;;22/01/2019 23:43;SOROCABA;;;3552205;;;C;;;7145;659900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5092;5;SORRISO;66;0;;22/01/2019 23:45;SORRISO;;;5107925;;;C;;;9907;61400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5093;17;SOSSEGO;83;0;;22/01/2019 23:47;SOSSEGO;;;2516151;;;C;;;536;241402;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5094;9;SOURE;91;0;;22/01/2019 23:49;SOURE;;;1507904;;;C;;;557;98200;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5095;17;SOUSA;83;0;;22/01/2019 23:52;SOUSA;;;2516201;;;C;;;2225;248900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5096;6;SOUTO SOARES;75;0;;22/01/2019 23:36;SOUTO SOARES;;;2930808;;;C;;;3915;342100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5097;14;SUCUPIRA;63;0;;22/01/2019 23:38;SUCUPIRA;;;1720853;;;C;;;335;65600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5098;31;SUCUPIRA DO NORTE;99;0;;22/01/2019 23:40;SUCUPIRA DO NORTE;;;2111904;;;C;;;931;139900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5099;31;SUCUPIRA DO RIACHAO;99;0;;22/01/2019 23:43;SUCUPIRA DO RIACHAO;;;2111953;;;C;;;256;166100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5100;1;SUD MENUCCI;18;0;;22/01/2019 23:45;SUD MENUCCI;;;3552304;;;C;;;7147;672800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5101;13;SUL BRASIL;49;0;;22/01/2019 23:47;SUL BRASIL;;;4217758;;;C;;;5595;92600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5102;8;SULINA;46;0;;22/01/2019 23:49;SULINA;;;4126652;;;C;;;8477;44000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5103;1;SUMARE;19;0;;22/01/2019 23:51;SUMARE;;;3552403;;;C;;;7149;653900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5104;17;SUME;83;0;;22/01/2019 23:36;SUME;;;2516300;;;C;;;2227;252200;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5105;7;SUMIDOURO;22;0;;22/01/2019 23:38;SUMIDOURO;;;3305703;;;C;;;5913;596400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5106;10;SURUBIM;81;0;;22/01/2019 23:39;SURUBIM;;;2614501;;;C;;;2589;283000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5107;23;SUSSUAPARA;89;0;;22/01/2019 23:42;SUSSUAPARA;;;2210938;;;C;;;400;199100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5108;1;SUZANAPOLIS;18;0;;22/01/2019 23:44;SUZANAPOLIS;;;3552551;;;C;;;2945;66800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5109;1;SUZANO;11;0;;22/01/2019 23:46;SUZANO;;;3552502;;;C;;;7151;714500;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5110;15;TABAI;51;0;;22/01/2019 23:48;TABAI;;;4320859;;;C;;;1016;183000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5111;5;TABAPORA;66;0;;22/01/2019 23:51;TABAPORA;;;5107941;;;C;;;125;126200;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5112;1;TABAPUA;17;0;;22/01/2019 23:35;TABAPUA;;;3552601;;;C;;;7153;636000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5113;18;TABATINGA;97;0;;22/01/2019 23:37;TABATINGA;;;1304062;;;C;;;9847;80500;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5114;1;TABATINGA;16;0;;22/01/2019 23:39;TABATINGA;;;3552700;;;C;;;7155;647000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5115;10;TABIRA;87;0;;22/01/2019 23:41;TABIRA;;;2614600;;;C;;;2591;275600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
