CODCID;UF;NOMECID;DDD;CODREG;DISTANCIA;DTALTER;DESCRICAOCORREIO;SEQENTREGA;POPULACAO;CODMUNFIS;VLRFRETEMIN;VLRFRETETON;TIPOFRETE;VLRFRETEKM;VLRTAXAENT;CODMUNSIAFI;CODMUNDMS;LATITUDE;LONGITUDE;VENDAMIN;CODMUNDIEF;QTDDIASSUB;QTDSUB;TEMSUBSTITNFSE;TIPCANCNFSE;VLRLIMCANCNFSE;MOTCANCSUBNFSE;METARREDVLRISS;MAXNOTALOTENFSE;NFSETEMPLATESUBST;TIPOCNAE;NUVERSAO;LINKAGUA;LINKENERGIA;LINKIPTU;TIMPARCPREFEITURA;NOFORMATLC116;CNAEFULLNFSE;NOINSCMUNPAR;GERCODNATISSJSON;ENVITENSSEPJSON;QTDMAXENVITENSJSON;OBSJSONENOTAS;PERMCANCNFSESUBSTIT;JSONSEMALIDENMUN;VMINRETENCAOISS;ACTCANEXNT;ENVFPJSON;CODPARCNFSE;REMZEROESQUERDLC116;INFQTDVLRUNIJSON;ENVMULEMAILJSON;GERNUNFSEINFCPM;ATUNUVERSAO;ENVTAGDESCONJSON;MASCARALC116;GERCNAEMULTJSON;REGESPTRIB;ENVCODIGONBSJSON;MASCARANBS;ENVTPSERVJSON
5000;17;SERRA BRANCA;83;0;;23/01/2019 15:56;SERRA BRANCA;;;2515500;;;C;;;2211;252000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5001;17;SERRA DA RAIZ;83;0;;23/01/2019 15:58;SERRA DA RAIZ;;;2515609;;;C;;;2213;257800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5002;2;SERRA DA SAUDADE;37;0;;23/01/2019 16:00;SERRA DA SAUDADE;;;3166600;;;C;;;5331;503400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5003;26;SERRA DE SAO BENTO;84;0;;23/01/2019 16:02;SERRA DE SAO BENTO;;;2413300;;;C;;;1863;232300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5004;26;SERRA DO MEL;84;0;;23/01/2019 16:04;SERRA DO MEL;;;2413359;;;C;;;1927;23000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5005;28;SERRA DO NAVIO;96;0;;23/01/2019 15:49;SERRA DO NAVIO;;;1600055;;;C;;;665;176100;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5006;6;SERRA DO RAMALHO;77;0;;23/01/2019 15:51;SERRA DO RAMALHO;;;2930154;;;C;;;3039;38900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5007;2;SERRA DO SALITRE;34;0;;23/01/2019 15:54;SERRA DO SALITRE;;;3166808;;;C;;;5335;446500;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5008;2;SERRA DOS AIMORES;33;0;;23/01/2019 15:55;SERRA DOS AIMORES;;;3166709;;;C;;;5333;441600;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5009;6;SERRA DOURADA;77;0;;23/01/2019 15:57;SERRA DOURADA;;;2930303;;;C;;;3905;335500;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5010;17;SERRA GRANDE;83;0;;23/01/2019 15:59;SERRA GRANDE;;;2515708;;;C;;;2215;244000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5011;1;SERRA NEGRA;19;0;;23/01/2019 16:02;SERRA NEGRA;;;3551603;;;C;;;7133;669200;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5012;26;SERRA NEGRA DO NORTE;84;0;;23/01/2019 16:04;SERRA NEGRA DO NORTE;;;2413409;;;C;;;1865;226800;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5013;5;SERRA NOVA DOURADA;66;0;;23/01/2019 15:48;SERRA NOVA DOURADA;;;5107883;;;C;;;1100;230500;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5014;6;SERRA PRETA;75;0;;23/01/2019 15:51;SERRA PRETA;;;2930402;;;C;;;3907;369400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5015;17;SERRA REDONDA;83;0;;23/01/2019 15:53;SERRA REDONDA;;;2515807;;;C;;;2217;257900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5016;10;SERRA TALHADA;87;0;;23/01/2019 15:55;SERRA TALHADA;;;2613909;;;C;;;2577;275400;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5017;1;SERRANA;16;0;;23/01/2019 15:57;SERRANA;;;3551504;;;C;;;7131;644300;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5018;2;SERRANIA;35;0;;23/01/2019 15:59;SERRANIA;;;3166907;;;C;;;5337;507700;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5019;31;SERRANO DO MARANHAO;98;0;;23/01/2019 16:01;SERRANO DO MARANHAO;;;2111789;;;C;;;254;166000;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5020;4;SERRANOPOLIS;64;0;;23/01/2019 16:03;SERRANOPOLIS;;;5220504;;;C;;;9607;32900;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5021;2;SERRANOPOLIS DE MINAS;38;0;;23/01/2019 15:48;SERRANOPOLIS DE MINAS;;;3166956;;;C;;;736;171200;0;0;;;0;0;N;1;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
